status,name,srcintf,dstintf,action,srcaddr,dstaddr,service,nat,comments,label,
enable,ia-vl0700,z-dmz-privat,virtual-wan-link,accept,n-172.17.0.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0700_vrf-UNTRUST,z-dmz-privat/wan,
enable,ia-vl0702,z-dmz-privat,virtual-wan-link,accept,n-172.17.2.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0702_vrf-UNTRUST,z-dmz-privat/wan,
enable,ia-vl0704,z-dmz-privat,virtual-wan-link,accept,n-172.17.4.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0704_vrf-UNTRUST,z-dmz-privat/wan,
enable,ia-vl0800,z-dmz-public,virtual-wan-link,accept,n-172.17.100.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0800_vrf-UNTRUST,z-dmz-public/wan,
enable,ia-vl0740,z-guest,virtual-wan-link,accept,n-172.17.40.0/21,INTERNET,sg-internet-basic,enable,Internet Access vl0740_vrf-UNTRUST,z-guest/wan,
enable,ia-vl0015,z-int,virtual-wan-link,accept,n-172.0.5.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0015_vrf-TRUST,z-int/wan,
enable,ia-vl0010,z-int,virtual-wan-link,accept,n-172.0.172.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0010_vrf-TRUST,z-int/wan,
enable,ia-vl0040,z-int,virtual-wan-link,accept,n-172.0.40.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0040_vrf-TRUST,z-int/wan,
enable,ia-vl0202,z-int,virtual-wan-link,accept,n-172.172.2.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0202_vrf-TRUST,z-int/wan,
enable,ia-vl0203,z-int,virtual-wan-link,accept,n-172.172.3.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0203_vrf-TRUST,z-int/wan,
enable,ia-vl0204,z-int,virtual-wan-link,accept,n-172.172.4.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0204_vrf-TRUST,z-int/wan,
enable,ia-vl0204,z-int,virtual-wan-link,accept,n-172.172.5.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0205_vrf-TRUST,z-int/wan,
enable,ia-vl0208,z-int,virtual-wan-link,accept,n-172.172.8.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0208_vrf-TRUST,z-int/wan,
enable,ia-vl0210,z-int,virtual-wan-link,accept,n-172.172.172.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0210_vrf-TRUST,z-int/wan,
enable,ia-vl0220,z-int,virtual-wan-link,accept,n-172.172.20.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0220_vrf-TRUST,z-int/wan,
enable,ia-vl4073,z-int,virtual-wan-link,accept,n-192.168.73.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl4073 vrf-TRUST,z-int/wan,
enable,ia-vl0799,z-sophos,virtual-wan-link,accept,n-172.17.99.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0799_vrf-UNTRUST,z-sophos/wan,
enable,ia-vl0900,z-untrust,virtual-wan-link,accept,n-172.27.0.0/23,INTERNET,sg-internet-basic,enable,Internet Access vl0900_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0902,z-untrust,virtual-wan-link,accept,n-172.27.2.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0902_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0904,z-untrust,virtual-wan-link,accept,n-172.27.4.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0904_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0906,z-untrust,virtual-wan-link,accept,n-172.27.6.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0906_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0908,z-untrust,virtual-wan-link,accept,n-172.27.8.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0908_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0910,z-untrust,virtual-wan-link,accept,n-172.27.172.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0910_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0912,z-untrust,virtual-wan-link,accept,n-172.27.12.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0912_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0914,z-untrust,virtual-wan-link,accept,n-172.27.14.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0914_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0990,z-untrust,virtual-wan-link,accept,n-172.27.90.0/23,INTERNET,sg-internet-basic,enable,Internet Access vl0990_vrf-UNTRUST,z-untrust/wan,
enable,ia-vl4074,z-untrust,virtual-wan-link,accept,n-192.168.74.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl4074 vrf-UNTRUST,z-untrust/wan,
enable,ia-vl0805,z-voice,virtual-wan-link,accept,n-172.17.105.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0805_vrf-UNTRUST,z-voice/wan,
enable,ia-vl0750,z-wlan,virtual-wan-link,accept,n-172.17.50.0/24,INTERNET,sg-internet-basic,enable,Internet Access vl0750_vrf-UNTRUST,z-wlan/wan,
